year,country,type,latitude,longitude,month,day,elevation,vei,tsu
1913.0,Vanuatu,Pyroclastic shield,-16.25,168.12,12.0,6.0,1334.0,3.0,0
1914.0,Japan,Stratovolcano,31.577,130.659,1.0,12.0,1117.0,4.0,1
1915.0,Japan,Submarine volcano,31.888,139.918,6.0,19.0,11.0,0.0,1
1916.0,Ecuador,Stratovolcano,-1.467,-78.442,3.0,3.0,5023.0,4.0,0
1916.0,Italy,Stratovolcano,38.789,15.213,7.0,3.0,924.0,3.0,1
1917.0,Tanzania,Stratovolcano,-2.764,35.914,1.0,1.0,2962.0,3.0,0
1917.0,New Zealand,Lava dome,-38.157,176.507,4.0,1.0,1111.0,1.0,0
1917.0,El Salvador,Stratovolcano,13.734,-89.294,6.0,7.0,1893.0,3.0,0
1918.0,Indonesia,Submarine volcano,3.138,125.491,7.0,18.0,-5.0,3.0,1
1918.0,Iceland,Subglacial volcano,63.633,-19.083,10.0,12.0,1490.0,4.0,1
1919.0,Mexico,Stratovolcano,19.023,-98.622,2.0,19.0,5393.0,1.0,0
1919.0,Indonesia,Submarine volcano,3.138,125.491,4.0,3.0,-5.0,3.0,1
1919.0,Indonesia,Stratovolcano,-7.935,112.314,5.0,19.0,1730.0,4.0,0
1919.0,Italy,Stratovolcano,38.789,15.213,5.0,22.0,924.0,3.0,1
1919.0,United States,Shield volcano,19.475,-155.608,9.0,29.0,4170.0,0.0,1
1920.0,Indonesia,Stratovolcano,-7.54,110.446,7.0,25.0,2910.0,3.0,0
1920.0,El Salvador,Stratovolcano,13.813,-89.633,10.0,29.0,1950.0,3.0,0
1923.0,Vietnam,Submarine volcanoes,10.158,109.014,3.0,2.0,-20.0,2.0,1
1923.0,Japan,Shield volcano,31.934,130.862,7.0,1.0,1700.0,2.0,0
1924.0,United States,Shield volcano,19.421,-155.287,5.0,10.0,1222.0,2.0,0
1924.0,Indonesia,Stratovolcano,-7.32,107.73,12.0,18.0,2665.0,1.0,0
1926.0,Greece,Shield volcano,36.404,25.396,1.0,23.0,367.0,2.0,0
1926.0,Japan,Stratovolcano,43.418,142.686,5.0,24.0,2077.0,3.0,0
1926.0,Japan,Stratovolcano,43.418,142.686,9.0,8.0,2077.0,3.0,0
1927.0,Iceland,Stratovolcano,64.25,-16.583,9.0,5.0,1620.0,1.0,0
1928.0,Indonesia,Caldera,-6.101,105.423,3.0,26.0,285.0,2.0,1
1928.0,Indonesia,Complex volcano,-7.2,109.879,5.0,13.0,2565.0,2.0,0
1928.0,Indonesia,Stratovolcano,-8.32,121.708,8.0,4.0,875.0,3.0,1
1928.0,Italy,Stratovolcano,37.748,14.999,11.0,8.0,3357.0,1.0,0
1929.0,Chile,Stratovolcano,-41.33,-72.618,1.0,6.0,1974.0,3.0,0
1929.0,Japan,Stratovolcano,42.063,140.677,6.0,17.0,1131.0,4.0,0
1929.0,Italy,Stratovolcano,37.748,14.999,8.0,2.0,3357.0,1.0,0
1929.0,Guatemala,Stratovolcano,14.757,-91.552,11.0,2.0,3745.0,3.0,0
1930.0,Indonesia,Caldera,-6.101,105.423,3.0,17.0,285.0,2.0,1
1930.0,Japan,Complex volcano,36.406,138.523,8.0,20.0,2568.0,3.0,0
1930.0,Italy,Stratovolcano,38.789,15.213,9.0,11.0,924.0,3.0,1
1930.0,Indonesia,Stratovolcano,-7.54,110.446,12.0,18.0,2910.0,3.0,0
1931.0,Japan,Complex volcano,36.406,138.523,8.0,20.0,2568.0,3.0,0
1932.0,Guatemala,Stratovolcano,14.473,-90.88,1.0,21.0,3763.0,4.0,0
1932.0,Japan,Stratovolcano,36.618,138.528,10.0,1.0,2165.0,3.0,0
1933.0,Russia,Stratovolcano,49.12,154.508,1.0,8.0,1145.0,5.0,1
1933.0,Japan,Stratovolcano,30.443,130.217,12.0,24.0,657.0,4.0,0
1933.0,Philippines,Stratovolcano,12.769,124.056,12.0,25.0,1535.0,2.0,1
1936.0,Japan,Complex volcano,36.406,138.523,7.0,29.0,2568.0,3.0,0
1937.0,Chile,Stratovolcano,-38.692,-71.729,2.0,9.0,3125.0,2.0,0
1937.0,Papua New Guinea,Pyroclastic shield,-4.246,152.194,5.0,29.0,688.0,4.0,1
1938.0,"Congo, DRC",Shield volcano,-1.408,29.2,1.0,28.0,3058.0,1.0,1
1938.0,Philippines,Stratovolcano,13.257,123.685,6.0,5.0,2462.0,2.0,0
1938.0,Japan,Complex volcano,36.406,138.523,7.0,16.0,2568.0,1.0,0
1939.0,Netherlands,Submarine volcano,12.3,-61.64,7.0,24.0,-185.0,1.0,1
1939.0,Japan,Stratovolcano,30.484,140.303,8.0,17.0,394.0,2.0,0
1939.0,Indonesia,Complex volcano,-7.2,109.879,10.0,13.0,2565.0,1.0,0
1940.0,Indonesia,Stratovolcano,2.781,125.407,6.0,20.0,1797.0,2.0,0
1940.0,Japan,Stratovolcano,34.094,139.526,7.0,12.0,775.0,2.0,0
1940.0,Tanzania,Stratovolcano,-2.764,35.914,7.0,24.0,2962.0,2.0,0
1941.0,Japan,Complex volcano,36.406,138.523,7.0,13.0,2568.0,2.0,0
1941.0,Indonesia,Stratovolcano,-8.108,112.922,9.0,21.0,3657.0,2.0,0
1943.0,Mexico,Cinder cone,19.85,-101.75,2.0,20.0,3860.0,4.0,0
1943.0,Ecuador,Shield volcano,-0.92,-91.408,4.0,13.0,1640.0,3.0,0
1944.0,Italy,Complex volcano,40.821,14.426,3.0,27.0,1281.0,3.0,0
1944.0,United States,Stratovolcano,52.825,-169.944,6.0,10.0,1730.0,3.0,0
1944.0,Italy,Stratovolcano,38.789,15.213,8.0,20.0,924.0,2.0,1
1944.0,Japan,Stratovolcano,42.544,140.839,8.0,26.0,733.0,2.0,0
1944.0,Indonesia,Complex volcano,-7.2,109.879,12.0,4.0,2565.0,2.0,0
1944.0,Japan,Stratovolcano,42.544,140.839,12.0,28.0,733.0,2.0,0
1946.0,Indonesia,Stratovolcano,-8.108,112.922,10.0,29.0,3657.0,2.0,0
